"Time","mWW","mWH","mWR","mWB","mHH","mHR","mHB","mRR","mRB","mBB","fWW","fWH","fWR","fWB","fHH","fHR","fHB","fRR","fRB","fBB"
293,10685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,10788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,10608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,10649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,10619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,10365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,10223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,10242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,10185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,10264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,10209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,10191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,9889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,9994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,9895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,9839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,9769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,9714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
